R-Peak Detected	 	RR Interval(ms)	Abnormal or Normal
128447	127800	647	Normal Interval
129091	128447	644	Normal Interval
129716	129091	625	Normal Interval
130333	129716	617	Normal Interval
130927	130333	594	Small Interval (RR<600ms)
131577	130927	650	Normal Interval
132175	131577	598	Small Interval (RR<600ms)
132916	132175	741	Normal Interval
133586	132916	670	Normal Interval
134252	133586	666	Normal Interval
134897	134252	645	Normal Interval
135308	134897	411	Small Interval (RR<600ms)
135669	135308	361	Small Interval (RR<600ms)
136058	135669	389	Small Interval (RR<600ms)
136491	136058	433	Small Interval (RR<600ms)
137041	136491	550	Small Interval (RR<600ms)
137511	137041	470	Small Interval (RR<600ms)
137902	137511	391	Small Interval (RR<600ms)
138308	137902	406	Small Interval (RR<600ms)
138694	138308	386	Small Interval (RR<600ms)
139086	138694	392	Small Interval (RR<600ms)
139480	139086	394	Small Interval (RR<600ms)
139852	139480	372	Small Interval (RR<600ms)
140241	139852	389	Small Interval (RR<600ms)
140608	140241	367	Small Interval (RR<600ms)
140991	140608	383	Small Interval (RR<600ms)
141372	140991	381	Small Interval (RR<600ms)
141747	141372	375	Small Interval (RR<600ms)
142133	141747	386	Small Interval (RR<600ms)
142508	142133	375	Small Interval (RR<600ms)
142861	142508	353	Small Interval (RR<600ms)
143244	142861	383	Small Interval (RR<600ms)
143622	143244	378	Small Interval (RR<600ms)
144002	143622	380	Small Interval (RR<600ms)
144394	144002	392	Small Interval (RR<600ms)
144788	144394	394	Small Interval (RR<600ms)
145180	144788	392	Small Interval (RR<600ms)
145580	145180	400	Small Interval (RR<600ms)
145958	145580	378	Small Interval (RR<600ms)
146347	145958	389	Small Interval (RR<600ms)
146725	146347	378	Small Interval (RR<600ms)
147088	146725	363	Small Interval (RR<600ms)
147452	147088	364	Small Interval (RR<600ms)
147816	147452	364	Small Interval (RR<600ms)
148172	147816	356	Small Interval (RR<600ms)
148533	148172	361	Small Interval (RR<600ms)
148869	148533	336	Small Interval (RR<600ms)
149244	148869	375	Small Interval (RR<600ms)
149627	149244	383	Small Interval (RR<600ms)
150019	149627	392	Small Interval (RR<600ms)
150419	150019	400	Small Interval (RR<600ms)
150808	150419	389	Small Interval (RR<600ms)
151191	150808	383	Small Interval (RR<600ms)
151575	151191	384	Small Interval (RR<600ms)
151944	151575	369	Small Interval (RR<600ms)
152311	151944	367	Small Interval (RR<600ms)
152680	152311	369	Small Interval (RR<600ms)
153052	152680	372	Small Interval (RR<600ms)
153427	153052	375	Small Interval (RR<600ms)
153797	153427	370	Small Interval (RR<600ms)
154155	153797	358	Small Interval (RR<600ms)
154516	154155	361	Small Interval (RR<600ms)
154875	154516	359	Small Interval (RR<600ms)
155244	154875	369	Small Interval (RR<600ms)
155630	155244	386	Small Interval (RR<600ms)
156022	155630	392	Small Interval (RR<600ms)
156405	156022	383	Small Interval (RR<600ms)
156797	156405	392	Small Interval (RR<600ms)
157166	156797	369	Small Interval (RR<600ms)
157547	157166	381	Small Interval (RR<600ms)
157927	157547	380	Small Interval (RR<600ms)
158302	157927	375	Small Interval (RR<600ms)
158688	158302	386	Small Interval (RR<600ms)
159058	158688	370	Small Interval (RR<600ms)
159427	159058	369	Small Interval (RR<600ms)
159797	159427	370	Small Interval (RR<600ms)
160172	159797	375	Small Interval (RR<600ms)
160527	160172	355	Small Interval (RR<600ms)
160877	160527	350	Small Interval (RR<600ms)
161255	160877	378	Small Interval (RR<600ms)
161644	161255	389	Small Interval (RR<600ms)
162047	161644	403	Small Interval (RR<600ms)
162430	162047	383	Small Interval (RR<600ms)
162838	162430	408	Small Interval (RR<600ms)
163363	162838	525	Small Interval (RR<600ms)
163972	163363	609	Normal Interval
164566	163972	594	Small Interval (RR<600ms)
165172	164566	606	Normal Interval
165755	165172	583	Small Interval (RR<600ms)
166369	165755	614	Normal Interval
166988	166369	619	Normal Interval
167650	166988	662	Normal Interval
168330	167650	680	Normal Interval
169016	168330	686	Normal Interval
169705	169016	689	Normal Interval
170400	169705	695	Normal Interval
171055	170400	655	Normal Interval
171716	171055	661	Normal Interval
172344	171716	628	Normal Interval
172944	172344	600	Normal Interval
173425	172944	481	Small Interval (RR<600ms)
174211	173425	786	Normal Interval
174886	174211	675	Normal Interval
175550	174886	664	Normal Interval
176172	175550	622	Normal Interval
176800	176172	628	Normal Interval
177405	176800	605	Normal Interval
178019	177405	614	Normal Interval
178627	178019	608	Normal Interval
179058	178627	431	Small Interval (RR<600ms)
179430	179058	372	Small Interval (RR<600ms)
179825	179430	395	Small Interval (RR<600ms)
180208	179825	383	Small Interval (RR<600ms)
180583	180208	375	Small Interval (RR<600ms)
180975	180583	392	Small Interval (RR<600ms)
181361	180975	386	Small Interval (RR<600ms)
181741	181361	380	Small Interval (RR<600ms)
182127	181741	386	Small Interval (RR<600ms)
182508	182127	381	Small Interval (RR<600ms)
182900	182508	392	Small Interval (RR<600ms)
183277	182900	377	Small Interval (RR<600ms)
183661	183277	384	Small Interval (RR<600ms)
184050	183661	389	Small Interval (RR<600ms)
184419	184050	369	Small Interval (RR<600ms)
184783	184419	364	Small Interval (RR<600ms)
185163	184783	380	Small Interval (RR<600ms)
185550	185163	387	Small Interval (RR<600ms)
185941	185550	391	Small Interval (RR<600ms)
186333	185941	392	Small Interval (RR<600ms)
186711	186333	378	Small Interval (RR<600ms)
187102	186711	391	Small Interval (RR<600ms)
187486	187102	384	Small Interval (RR<600ms)
187852	187486	366	Small Interval (RR<600ms)
188238	187852	386	Small Interval (RR<600ms)
188613	188238	375	Small Interval (RR<600ms)
188988	188613	375	Small Interval (RR<600ms)
189361	188988	373	Small Interval (RR<600ms)
189719	189361	358	Small Interval (RR<600ms)
190088	189719	369	Small Interval (RR<600ms)
190447	190088	359	Small Interval (RR<600ms)
190783	190447	336	Small Interval (RR<600ms)
191161	190783	378	Small Interval (RR<600ms)
191538	191161	377	Small Interval (RR<600ms)
191927	191538	389	Small Interval (RR<600ms)
192327	191927	400	Small Interval (RR<600ms)
192711	192327	384	Small Interval (RR<600ms)
193097	192711	386	Small Interval (RR<600ms)
193486	193097	389	Small Interval (RR<600ms)
193844	193486	358	Small Interval (RR<600ms)
194202	193844	358	Small Interval (RR<600ms)
194566	194202	364	Small Interval (RR<600ms)
194936	194566	370	Small Interval (RR<600ms)
195308	194936	372	Small Interval (RR<600ms)
195677	195308	369	Small Interval (RR<600ms)
196036	195677	359	Small Interval (RR<600ms)
196394	196036	358	Small Interval (RR<600ms)
196736	196394	342	Small Interval (RR<600ms)
197091	196736	355	Small Interval (RR<600ms)
197483	197091	392	Small Interval (RR<600ms)
197855	197483	372	Small Interval (RR<600ms)
198241	197855	386	Small Interval (RR<600ms)
198638	198241	397	Small Interval (RR<600ms)
199013	198638	375	Small Interval (RR<600ms)
199397	199013	384	Small Interval (RR<600ms)
199783	199397	386	Small Interval (RR<600ms)
200166	199783	383	Small Interval (RR<600ms)
200561	200166	395	Small Interval (RR<600ms)
201047	200561	486	Small Interval (RR<600ms)
201591	201047	544	Small Interval (RR<600ms)
202136	201591	545	Small Interval (RR<600ms)
202652	202136	516	Small Interval (RR<600ms)
203208	202652	556	Small Interval (RR<600ms)
203816	203208	608	Normal Interval
204452	203816	636	Normal Interval
205130	204452	678	Normal Interval
205791	205130	661	Normal Interval
206475	205791	684	Normal Interval
207180	206475	705	Normal Interval
207866	207180	686	Normal Interval
208547	207866	681	Normal Interval
209233	208547	686	Normal Interval
209930	209233	697	Normal Interval
210625	209930	695	Normal Interval
211311	210625	686	Normal Interval
211988	211311	677	Normal Interval
212650	211988	662	Normal Interval
213280	212650	630	Normal Interval
213894	213280	614	Normal Interval
214519	213894	625	Normal Interval
215127	214519	608	Normal Interval
215769	215127	642	Normal Interval
216430	215769	661	Normal Interval
216911	216430	481	Small Interval (RR<600ms)
217688	216911	777	Normal Interval
218322	217688	634	Normal Interval
218938	218322	616	Normal Interval
219544	218938	606	Normal Interval
220152	219544	608	Normal Interval
220750	220152	598	Small Interval (RR<600ms)
221380	220750	630	Normal Interval
222027	221380	647	Normal Interval
222655	222027	628	Normal Interval
223286	222655	631	Normal Interval
223919	223286	633	Normal Interval
224525	223919	606	Normal Interval
225152	224525	627	Normal Interval
225658	225152	506	Small Interval (RR<600ms)
226352	225658	694	Normal Interval
226950	226352	598	Small Interval (RR<600ms)
227563	226950	613	Normal Interval
